Round;RandomBidderExample1;RandomBidderExample2
1-1;0.8450000000000001;0.22618848402587258
1-2;0.6108333333333333;0.842035170518133
2-1;0.8116666666666666;0.4108969606038105
2-2;0.6141666666666666;0.8595877376398615
3-1;0.8099999999999999;0.2145895410398369
3-2;0.5;0.8876502526916925
4-1;0.8324999999999999;0.5012273138758496
4-2;0.6833333333333333;0.8022791373369376
5-1;0.975;0.49464690002105177
5-2;0.5141666666666667;0.6697773541052053
6-1;0.8575;0.2097117454706174
6-2;0.6616666666666666;0.8377841646680184
7-1;0.8083333333333333;0.4397972102727852
7-2;0.6616666666666666;0.8377841646680184
8-1;0.8675;0.40185765606434604
8-2;0.6775;0.8113247630278639
9-1;0.8641666666666666;0.44415384005119085
9-2;0.6616666666666666;0.8615956738697348
10-1;0.8450000000000001;0.4694410778191071
10-2;0.5666666666666667;0.84868595115394
11-1;0.8025;0.6857680632854671
11-2;0.785;0.3548482608905584
12-1;0.8324999999999999;0.4767758484655683
12-2;0.6200000000000001;0.2982498013501267
13-1;0.8291666666666667;0.30916475432550816
13-2;0.7216666666666667;0.9279255161862858
14-1;0.8433333333333333;0.4106588666544809
14-2;0.6141666666666666;0.8595877376398615
15-1;0.8308333333333334;0.551309222963949
15-2;0.5508333333333333;0.8235504957330047
16-1;0.81;0.35677478846656285
16-2;0.5525;0.8122681756622003
17-1;0.8258333333333333;0.3185074612018426
17-2;0.6266666666666667;0.8162157250865434
18-1;0.8133333333333334;0.2513239394468081
18-2;0.48749999999999993;0.8711735141364372
19-1;0.8766666666666666;0.2873611813536651
19-2;0.5158333333333334;0.9127857081126278
20-1;0.8183333333333334;0.6236892268190306
20-2;0.5508333333333333;0.9072107560432943
21-1;0.8133333333333334;0.2867212251451001
21-2;0.6616666666666666;0.8615956738697348
22-1;0.9033333333333333;0.540561181084517
22-2;0.5666666666666667;0.84868595115394
23-1;0.8891666666666668;0.27088444279840995
23-2;0.7375;0.805997928611276
24-1;0.8816666666666666;0.5516147430053165
24-2;0.6141666666666666;0.8833992468415779
25-1;0.9541666666666666;0.4849634358260582
25-2;0.6491666666666666;0.6168960065476705
26-1;0.8275000000000001;0.5563979634312073
26-2;0.6741666666666667;0.8542609032232737
27-1;0.8150000000000002;0.7376420875390144
27-2;0.595;0.9639627580931429
28-1;0.8891666666666668;0.24643297738812855
28-2;0.6266666666666667;0.8162157250865434
29-1;0.8733333333333334;0.3329632792648465
29-2;0.6108333333333333;0.842035170518133
30-1;0.8483333333333334;0.5306841419279087
30-2;0.7091666666666667;0.9114487776310307
31-1;0.8183333333333334;0.6236892268190306
31-2;0.5633333333333334;0.8400272342882598
32-1;0.8766666666666666;0.26290971594338375
32-2;0.5525;0.8122681756622003
33-1;0.8100000000000002;0.4404350487768525
33-2;0.6283333333333333;0.8049334050157393
34-1;0.8575;0.33651712861484684
34-2;0.69;0.8039899923814027
35-1;0.87;0.3199831897680425
35-2;0.6583333333333334;0.9163397396897104
36-1;0.8325000000000001;0.4074326081336797
36-2;0.7850000000000001;0.8803024977828533
37-1;0.975;0.49464690002105177
37-2;0.6108333333333333;0.8182236613164167
38-1;0.8025;0.6857680632854671
38-2;0.6025;0.44824498224042664
39-1;0.8258333333333333;0.2702444865898449
39-2;0.6916666666666667;0.8284393400871863
40-1;0.9366666666666666;0.3690005211717035
40-2;0.5158333333333334;0.8529369570040546
41-1;0.87;0.3199831897680425
41-2;0.69;0.827801501583119
42-1;0.8291666666666667;0.2609017797135105
42-2;0.4525;0.876748466205771
43-1;0.8733333333333334;0.4166235395751362
43-2;0.6266666666666667;0.8162157250865434
44-1;0.84;0.43819213460160006
44-2;0.7725;0.9120887338395958
45-1;0.8733333333333333;0.6587701259180746
45-2;0.5033333333333333;0.8963089695573727
46-1;0.5033333333333333;0.8963089695573727
46-1;0.5033333333333333;0.8963089695573727